state,district,mandal,village
ANDHRA PRADESH,Adilabad,Inderavelly,Yamaikunta
ANDHRA PRADESH,Adilabad,Inderavelly,Muthnur
ANDHRA PRADESH,Adilabad,Inderavelly,Dhannura (B)
ANDHRA PRADESH,Adilabad,Inderavelly,Dhannura (K)
ANDHRA PRADESH,Adilabad,Inderavelly,Goureepur
ANDHRA PRADESH,Adilabad,Inderavelly,Mendapalle
ANDHRA PRADESH,Adilabad,Inderavelly,Keslapur
ANDHRA PRADESH,Adilabad,Inderavelly,Heerapur
ANDHRA PRADESH,Adilabad,Inderavelly,Harkapur
ANDHRA PRADESH,Adilabad,Inderavelly,Anji
ANDHRA PRADESH,Adilabad,Inderavelly,Mamidiguda
ANDHRA PRADESH,Adilabad,Inderavelly,Dasnapur
ANDHRA PRADESH,Adilabad,Inderavelly,Keslaguda
ANDHRA PRADESH,Adilabad,Inderavelly,Mallapur
ANDHRA PRADESH,Adilabad,Inderavelly,Dharmasagar
ANDHRA PRADESH,Adilabad,Inderavelly,Tejapur
ANDHRA PRADESH,Adilabad,Inderavelly,Lakampur
ANDHRA PRADESH,Adilabad,Inderavelly,Rampur (B)
ANDHRA PRADESH,Adilabad,Inderavelly,Kondapur
ANDHRA PRADESH,Adilabad,Inderavelly,Pochampalle
ANDHRA PRADESH,Adilabad,Inderavelly,Lachimpur (K)
ANDHRA PRADESH,Adilabad,Inderavelly,Waipet
ANDHRA PRADESH,Adilabad,Inderavelly,Lachimpur (B)
ANDHRA PRADESH,Adilabad,Inderavelly,Walganda Heerapur
ANDHRA PRADESH,Adilabad,Inderavelly,Dongargaon
ANDHRA PRADESH,Adilabad,Inderavelly,Wadagaon
ANDHRA PRADESH,Adilabad,Narnoor,Narnoor
ANDHRA PRADESH,Adilabad,Narnoor,Kondi
ANDHRA PRADESH,Adilabad,Narnoor,Rampur
ANDHRA PRADESH,Adilabad,Narnoor,Khandow
ANDHRA PRADESH,Adilabad,Narnoor,Dongargaon
ANDHRA PRADESH,Adilabad,Narnoor,Sedwai
ANDHRA PRADESH,Adilabad,Narnoor,Kadodi
ANDHRA PRADESH,Adilabad,Narnoor,Kouthala
ANDHRA PRADESH,Adilabad,Narnoor,Kothapalle (G)
ANDHRA PRADESH,Adilabad,Narnoor,Rupapur
ANDHRA PRADESH,Adilabad,Narnoor,Warkwai
ANDHRA PRADESH,Adilabad,Narnoor,Ademeyon
ANDHRA PRADESH,Adilabad,Narnoor,Sawari
ANDHRA PRADESH,Adilabad,Narnoor,Pipri
ANDHRA PRADESH,Adilabad,Narnoor,Arjuni
ANDHRA PRADESH,Adilabad,Narnoor,Paraswada (K)
ANDHRA PRADESH,Adilabad,Narnoor,Lokari (K)
ANDHRA PRADESH,Adilabad,Narnoor,Jhari
ANDHRA PRADESH,Adilabad,Narnoor,Dhaba (K)
ANDHRA PRADESH,Adilabad,Narnoor,Dhaba (Buzurg)
ANDHRA PRADESH,Adilabad,Narnoor,Punaguda
ANDHRA PRADESH,Adilabad,Narnoor,Maregaon
ANDHRA PRADESH,Adilabad,Narnoor,Gadiguda
ANDHRA PRADESH,Adilabad,Narnoor,Kunikasa
ANDHRA PRADESH,Adilabad,Narnoor,Kolama
ANDHRA PRADESH,Adilabad,Narnoor,Parswada (B)
ANDHRA PRADESH,Adilabad,Narnoor,Gouri
ANDHRA PRADESH,Adilabad,Narnoor,Pownur
ANDHRA PRADESH,Adilabad,Narnoor,Lokari (B)
ANDHRA PRADESH,Adilabad,Narnoor,Khadki
ANDHRA PRADESH,Adilabad,Narnoor,Sungapur
ANDHRA PRADESH,Adilabad,Narnoor,Chorgaon
ANDHRA PRADESH,Adilabad,Narnoor,Manjari
ANDHRA PRADESH,Adilabad,Narnoor,Babjhari
ANDHRA PRADESH,Adilabad,Narnoor,Dhupapur
ANDHRA PRADESH,Adilabad,Narnoor,Empalle
ANDHRA PRADESH,Adilabad,Narnoor,Sangvi
ANDHRA PRADESH,Adilabad,Narnoor,Umri
ANDHRA PRADESH,Adilabad,Narnoor,Bheempur
ANDHRA PRADESH,Adilabad,Narnoor,Kothapalli - H
ANDHRA PRADESH,Adilabad,Narnoor,Narnoor
ANDHRA PRADESH,Adilabad,Narnoor,Khairdatwa
ANDHRA PRADESH,Adilabad,Narnoor,Gundala
ANDHRA PRADESH,Adilabad,Narnoor,Mahadapur
ANDHRA PRADESH,Adilabad,Narnoor,Khampur
ANDHRA PRADESH,Adilabad,Narnoor,Mahagaon
ANDHRA PRADESH,Adilabad,Narnoor,Mankapur
ANDHRA PRADESH,Adilabad,Narnoor,Gangapur
ANDHRA PRADESH,Adilabad,Narnoor,Gunjala
ANDHRA PRADESH,Adilabad,Narnoor,Tadihadapnur
ANDHRA PRADESH,Adilabad,Narnoor,Balanpur
ANDHRA PRADESH,Adilabad,Narnoor,Sonapur
ANDHRA PRADESH,Adilabad,Narnoor,Nagolkonda
ANDHRA PRADESH,Adilabad,Narnoor,Malepur
ANDHRA PRADESH,Adilabad,Narnoor,Malangi
ANDHRA PRADESH,Adilabad,Kerameri,Kerameri
ANDHRA PRADESH,Adilabad,Kerameri,Lakhmapur
ANDHRA PRADESH,Adilabad,Kerameri,Kotha
ANDHRA PRADESH,Adilabad,Kerameri,Parandoli
ANDHRA PRADESH,Adilabad,Kerameri,Karanjiwada
ANDHRA PRADESH,Adilabad,Kerameri,Anthapur
ANDHRA PRADESH,Adilabad,Kerameri,Isapur
ANDHRA PRADESH,Adilabad,Kerameri,Gouri
ANDHRA PRADESH,Adilabad,Kerameri,Arekepalle
ANDHRA PRADESH,Adilabad,Kerameri,Arepalle
ANDHRA PRADESH,Adilabad,Kerameri,Devadpalle
ANDHRA PRADESH,Adilabad,Kerameri,Agarwada
ANDHRA PRADESH,Adilabad,Kerameri,Keli Buzurg
